Date,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%),Index Market Capitalisation (Rs. Crores)
2021-03-31,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4063503522.0,51375.69,0.81,0.81,0.25,2.43,3.92,0.03,
2021-03-31,JSWSTEEL,JSW Steel Ltd.,STEEL,2417220440.0,45293.88,0.71,1.24,0.47,2.09,18.46,0.03,
2021-03-31,KOTAKBANK,Kotak Mahindra Bank Ltd.,PRIVATE SECTOR BANK,9908108840.0,257059.94,4.05,1.16,0.45,1.61,-1.54,0.02,
2021-03-31,LT,Larsen & Toubro Ltd.,ENGINEERING-DESIGNING-CONSTRUCTION,2808870286.0,171376.76,2.7,0.87,0.35,1.55,-1.64,0.03,
2021-03-31,M&M,Mahindra & Mahindra Ltd.,PASSENGER/UTILITY VEHICLES,6215962720.0,76125.96,1.2,1.27,0.4,1.7,-1.38,0.02,
2021-03-31,MARUTI,Maruti Suzuki India Ltd.,PASSENGER/UTILITY VEHICLES,1510400300.0,91169.21,1.44,1.15,0.45,1.49,-0.1,0.02,
2021-03-31,NTPC,NTPC Ltd.,POWER,96966661340.0,50625.81,0.8,0.67,0.19,2.11,-0.7,0.04,
2021-03-31,NESTLEIND,Nestle India Ltd.,CONSUMER FOOD,964157160.0,61234.82,0.96,0.51,0.17,1.35,6.61,0.02,
2021-03-31,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION,62901396030.0,37267.19,0.59,0.86,0.21,2.21,-7.97,0.03,
2021-03-31,POWERGRID,Power Grid Corporation of India Ltd.,POWER - TRANSMISSION,52315896480.0,55281.42,0.87,0.62,0.2,2.31,0.63,0.03,
2021-03-31,RELIANCE,Reliance Industries Ltd.,REFINERIES/MARKETING,63394419200.0,647625.34,10.19,0.93,0.34,1.82,-3.96,0.02,
2021-03-31,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,21299439990.0,507013.36,7.98,0.82,0.32,1.68,9.16,0.02,
2021-03-31,SBILIFE,SBI Life Insurance Company Ltd.,LIFE INSURANCE,10000697480.0,34355.55,0.54,0.77,0.3,2.01,1.61,0.03,
2021-03-31,SBIN,State Bank of India,PUBLIC SECTOR BANK,8924611534.0,139803.15,2.2,1.3,0.48,1.66,-6.63,0.02,
2021-03-31,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399334970.0,64544.51,1.02,0.58,0.15,1.52,0.54,0.02,
2021-03-31,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3699051373.0,329140.85,5.18,0.75,0.32,1.39,9.8,0.02,
2021-03-31,TATACONSUM,Tata Consumer Products Ltd.,TEA &  COFFEE,921551715.0,38270.66,0.6,0.67,0.21,1.54,4.88,0.03,
2021-03-31,TATAMOTORS,Tata Motors Ltd.,PASSENGER/UTILITY VEHICLES,6640615530.0,54111.72,0.85,1.47,0.33,2.53,-6.55,0.03,
2021-03-31,TATASTEEL,Tata Steel Ltd.,STEEL,11264895180.0,61274.21,0.96,1.13,0.37,3.05,13.52,0.02,
2021-03-31,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4841300335.0,61438.81,0.97,0.76,0.24,1.82,7.9,0.03,
2021-03-31,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160.0,65011.12,1.02,0.95,0.35,1.56,10.74,0.02,
2021-03-31,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1528090912.0,35308.99,0.56,0.96,0.21,3.04,14.3,0.03,
2021-03-31,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT,2886414540.0,77794.07,1.22,0.88,0.38,1.89,10.19,0.03,
2021-03-31,SHREECEM,Shree Cement Ltd.,CEMENT,360807480.0,39335.95,0.62,0.93,0.36,2.15,11.18,0.03,
2021-03-31,INDUSINDBK,IndusInd Bank Ltd.,PRIVATE SECTOR BANK,7731551870.0,53869.47,0.85,1.78,0.4,1.95,-10.21,0.03,
2021-03-31,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,10958221110.0,61267.69,0.96,0.69,0.19,1.88,0.94,0.02,
2021-03-31,ITC,ITC Ltd.,CIGARETTES & RELATED PRODUCTS,12307869772.0,190938.14,3.01,0.48,0.12,1.49,7.19,0.03,
2021-03-31,IOC,Indian Oil Corporation Ltd.,REFINERIES/MARKETING,94141589220.0,23346.64,0.37,0.84,0.34,1.78,-6.32,0.03,
2021-03-31,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790.0,114391.82,1.8,0.67,0.24,1.98,11.43,0.02,
2021-03-31,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6126763828.0,175197.57,2.76,1.77,0.55,1.55,-3.77,0.03,
2021-03-31,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2893670200.0,47796.78,0.75,0.85,0.33,1.82,-3.37,0.03,
2021-03-31,BAJFINANCE,Bajaj Finance Ltd.,NBFC,1205174678.0,136542.31,2.15,1.47,0.43,1.69,-2.19,0.02,
2021-03-31,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,795687220.0,58468.18,0.92,1.32,0.44,1.99,0.21,0.03,
2021-03-31,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,21692527440.0,39918.26,0.63,0.99,0.29,1.99,-4.87,0.02,
2021-03-31,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296.0,42784.82,0.67,0.49,0.18,1.38,7.77,0.02,
2021-03-31,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1612920892.0,41412.79,0.65,0.42,0.07,1.5,3.56,0.02,
2021-03-31,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270.0,27312.6,0.43,0.81,0.29,1.59,-14.36,0.04,
2021-03-31,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160.0,46163.5,0.73,0.62,0.17,1.74,7.72,0.02,
2021-03-31,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,27460136340.0,125005.13,1.97,0.71,0.18,1.54,-7.01,0.03,
2021-03-31,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,273335922.0,36299.41,0.57,0.97,0.35,1.48,4.22,0.02,
2021-03-31,GRASIM,Grasim Industries Ltd.,CEMENT,1315902008.0,55354.67,0.87,0.98,0.37,1.6,20.8,0.02,
2021-03-31,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192.0,106663.32,1.68,0.83,0.28,1.87,8.05,0.02,
2021-03-31,ICICIBANK,ICICI Bank Ltd.,PRIVATE SECTOR BANK,13830908690.0,402548.6,6.34,1.73,0.67,1.89,-2.62,0.03,
2021-03-31,HDFCBANK,HDFC Bank Ltd.,PRIVATE SECTOR BANK,5512776482.0,650498.53,10.24,1.24,0.64,1.85,-2.66,0.02,
2021-03-31,HDFCLIFE,HDFC Life Insurance Company Ltd.,LIFE INSURANCE,20209439660.0,57686.23,0.91,0.75,0.31,1.43,-0.64,0.02,
2021-03-31,HEROMOTOCO,Hero MotoCorp Ltd.,MOTOR CYCLES/SCOOTERS,399560434.0,37835.18,0.6,0.9,0.28,1.78,-9.63,0.02,
